DATE,T (degC)
2009-01-01,15
2009-01-02,14
2009-01-03,14
2009-01-04,14
2009-01-05,10
2009-01-06,13
2009-01-07,10
2009-01-08,11
2009-01-09,11
2009-01-10,12
2009-01-11,12
2009-01-12,11
2009-01-13,11
2009-01-14,10
2009-01-15,13
2009-01-16,14
2009-01-17,14
2009-01-18,14
2009-01-19,15
2009-01-20,12
2009-01-21,9
2009-01-22,12
2009-01-23,16
2009-01-24,16
2009-01-25,13
2009-01-26,11
2009-01-27,10
2009-01-28,13
2009-01-29,14
2009-01-30,17
2009-01-31,13
2009-02-01,12
2009-02-02,16
2009-02-03,12
2009-02-04,17
2009-02-05,16
2009-02-06,14
2009-02-07,10
2009-02-08,10
2009-02-09,15
2009-02-10,16
2009-02-11,13
2009-02-12,13
2009-02-13,10
2009-02-14,13
2009-02-15,12
2009-02-16,12
2009-02-17,11
2009-02-18,13
2009-02-19,14
2009-02-20,13
2009-02-21,12
2009-02-22,11
2009-02-23,15
2009-02-24,13
2009-02-25,13
2009-02-26,15
2009-02-27,18
2009-02-28,17
2009-03-01,16
2009-03-02,17
2009-03-03,20
2009-03-04,12
2009-03-05,11
2009-03-06,11
2009-03-07,14
2009-03-08,17
2009-03-09,17
2009-03-10,17
2009-03-11,17
2009-03-12,15
2009-03-13,17
2009-03-14,20
2009-03-15,19
2009-03-16,16
2009-03-17,13
2009-03-18,16
2009-03-19,18
2009-03-20,17
2009-03-21,14
2009-03-22,13
2009-03-23,16
2009-03-24,19
2009-03-25,18
2009-03-26,19
2009-03-27,24
2009-03-28,22
2009-03-29,17
2009-03-30,12
2009-03-31,14
2009-04-01,15
2009-04-02,14
2009-04-03,10
2009-04-04,14
2009-04-05,18
2009-04-06,22
2009-04-07,19
2009-04-08,14
2009-04-09,15
2009-04-10,20
2009-04-11,15
2009-04-12,12
2009-04-13,15
2009-04-14,20
2009-04-15,20
2009-04-16,18
2009-04-17,17
2009-04-18,17
2009-04-19,12
2009-04-20,16
2009-04-21,15
2009-04-22,15
2009-04-23,19
2009-04-24,25
2009-04-25,22
2009-04-26,19
2009-04-27,16
2009-04-28,19
2009-04-29,19
2009-04-30,20
2009-05-01,16
2009-05-02,16
2009-05-03,19
2009-05-04,21
2009-05-05,19
2009-05-06,18
2009-05-07,22
2009-05-08,28
2009-05-09,26
2009-05-10,28
2009-05-11,31
2009-05-12,26
2009-05-13,21
2009-05-14,16
2009-05-15,18
2009-05-16,21
2009-05-17,26
2009-05-18,25
2009-05-19,26
2009-05-20,33
2009-05-21,34
2009-05-22,31
2009-05-23,29
2009-05-24,26
2009-05-25,24
2009-05-26,23
2009-05-27,21
2009-05-28,23
2009-05-29,25
2009-05-30,28
2009-05-31,24
2009-06-01,26
2009-06-02,26
2009-06-03,27
2009-06-04,27
2009-06-05,28
2009-06-06,24
2009-06-07,24
2009-06-08,26
2009-06-09,24
2009-06-10,26
2009-06-11,29
2009-06-12,30
2009-06-13,33
2009-06-14,36
2009-06-15,32
2009-06-16,31
2009-06-17,30
2009-06-18,29
2009-06-19,30
2009-06-20,28
2009-06-21,26
2009-06-22,26
2009-06-23,27
2009-06-24,29
2009-06-25,30
2009-06-26,28
2009-06-27,28
2009-06-28,30
2009-06-29,29
2009-06-30,29
2009-07-01,30
2009-07-02,32
2009-07-03,32
2009-07-04,32
2009-07-05,33
2009-07-06,33
2009-07-07,31
2009-07-08,29
2009-07-09,29
2009-07-10,29
2009-07-11,30
2009-07-12,33
2009-07-13,38
2009-07-14,32
2009-07-15,32
2009-07-16,31
2009-07-17,31
2009-07-18,27
2009-07-19,28
2009-07-20,31
2009-07-21,35
2009-07-22,38
2009-07-23,35
2009-07-24,34
2009-07-25,31
2009-07-26,33
2009-07-27,36
2009-07-28,33
2009-07-29,32
2009-07-30,31
2009-07-31,30
2009-08-01,31
2009-08-02,32
2009-08-03,30
2009-08-04,30
2009-08-05,33
2009-08-06,34
2009-08-07,31
2009-08-08,29
2009-08-09,31
2009-08-10,33
2009-08-11,34
2009-08-12,33
2009-08-13,28
2009-08-14,29
2009-08-15,30
2009-08-16,30
2009-08-17,29
2009-08-18,32
2009-08-19,31
2009-08-20,30
2009-08-21,29
2009-08-22,31
2009-08-23,33
2009-08-24,32
2009-08-25,31
2009-08-26,30
2009-08-27,30
2009-08-28,28
2009-08-29,28
2009-08-30,31
2009-08-31,30
2009-09-01,33
2009-09-02,29
2009-09-03,32
2009-09-04,31
2009-09-05,29
2009-09-06,28
2009-09-07,28
2009-09-08,27
2009-09-09,26
2009-09-10,27
2009-09-11,26
2009-09-12,24
2009-09-13,25
2009-09-14,27
2009-09-15,23
2009-09-16,23
2009-09-17,26
2009-09-18,24
2009-09-19,23
2009-09-20,24
2009-09-21,22
2009-09-22,22
2009-09-23,22
2009-09-24,21
2009-09-25,24
2009-09-26,24
2009-09-27,26
2009-09-28,26
2009-09-29,25
2009-09-30,26
2009-10-01,23
2009-10-02,24
2009-10-03,24
2009-10-04,26
2009-10-05,29
2009-10-06,32
2009-10-07,31
2009-10-08,28
2009-10-09,26
2009-10-10,25
2009-10-11,24
2009-10-12,24
2009-10-13,22
2009-10-14,23
2009-10-15,21
2009-10-16,19
2009-10-17,21
2009-10-18,19
2009-10-19,19
2009-10-20,25
2009-10-21,23
2009-10-22,24
2009-10-23,21
2009-10-24,22
2009-10-25,23
2009-10-26,23
2009-10-27,23
2009-10-28,22
2009-10-29,23
2009-10-30,22
2009-10-31,22
2009-11-01,22
2009-11-02,23
2009-11-03,21
2009-11-04,23
2009-11-05,18
2009-11-06,16
2009-11-07,20
2009-11-08,16
2009-11-09,14
2009-11-10,16
2009-11-11,19
2009-11-12,21
2009-11-13,23
2009-11-14,24
2009-11-15,25
2009-11-16,25
2009-11-17,25
2009-11-18,25
2009-11-19,22
2009-11-20,20
2009-11-21,22
2009-11-22,21
2009-11-23,18
2009-11-24,19
2009-11-25,21
2009-11-26,19
2009-11-27,20
2009-11-28,18
2009-11-29,21
2009-11-30,15
2009-12-01,13
2009-12-02,16
2009-12-03,14
2009-12-04,15
2009-12-05,15
2009-12-06,17
2009-12-07,18
2009-12-08,17
2009-12-09,17
2009-12-10,16
2009-12-11,17
2009-12-12,15
2009-12-13,16
2009-12-14,16
2009-12-15,10
2009-12-16,14
2009-12-17,17
2009-12-18,16
2009-12-19,13
2009-12-20,10
2009-12-21,16
2009-12-22,20
2009-12-23,19
2009-12-24,22
2009-12-25,20
2009-12-26,20
2009-12-27,14
2009-12-28,18
2009-12-29,22
2009-12-30,21
2009-12-31,19
2010-01-01,15
2010-01-02,15
2010-01-03,17
2010-01-04,19
2010-01-05,15
2010-01-06,14
2010-01-07,18
2010-01-08,13
2010-01-09,7
2010-01-10,11
2010-01-11,12
2010-01-12,14
2010-01-13,15
2010-01-14,17
2010-01-15,11
2010-01-16,15
2010-01-17,16
2010-01-18,17
2010-01-19,16
2010-01-20,14
2010-01-21,14
2010-01-22,15
2010-01-23,15
2010-01-24,13
2010-01-25,15
2010-01-26,14
2010-01-27,11
2010-01-28,10
2010-01-29,11
2010-01-30,13
2010-01-31,13
2010-02-01,11
2010-02-02,12
2010-02-03,17
2010-02-04,18
2010-02-05,17
2010-02-06,15
2010-02-07,15
2010-02-08,15
2010-02-09,13
2010-02-10,11
2010-02-11,9
2010-02-12,9
2010-02-13,9
2010-02-14,9
2010-02-15,13
2010-02-16,16
2010-02-17,18
2010-02-18,21
2010-02-19,15
2010-02-20,13
2010-02-21,15
2010-02-22,20
2010-02-23,18
2010-02-24,17
2010-02-25,20
2010-02-26,18
2010-02-27,22
2010-02-28,20
2010-03-01,17
2010-03-02,16
2010-03-03,17
2010-03-04,15
2010-03-05,18
2010-03-06,12
2010-03-07,12
2010-03-08,13
2010-03-09,8
2010-03-10,10
2010-03-11,13
2010-03-12,11
2010-03-13,10
2010-03-14,12
2010-03-15,13
2010-03-16,16
2010-03-17,19
2010-03-18,21
2010-03-19,22
2010-03-20,24
2010-03-21,21
2010-03-22,16
2010-03-23,17
2010-03-24,21
2010-03-25,20
2010-03-26,19
2010-03-27,18
2010-03-28,20
2010-03-29,23
2010-03-30,18
2010-03-31,18
2010-04-01,16
2010-04-02,18
2010-04-03,23
2010-04-04,16
2010-04-05,18
2010-04-06,22
2010-04-07,17
2010-04-08,13
2010-04-09,13
2010-04-10,17
2010-04-11,19
2010-04-12,18
2010-04-13,19
2010-04-14,19
2010-04-15,17
2010-04-16,18
2010-04-17,17
2010-04-18,16
2010-04-19,18
2010-04-20,21
2010-04-21,24
2010-04-22,18
2010-04-23,18
2010-04-24,20
2010-04-25,20
2010-04-26,20
2010-04-27,23
2010-04-28,20
2010-04-29,22
2010-04-30,25
2010-05-01,23
2010-05-02,21
2010-05-03,20
2010-05-04,15
2010-05-05,14
2010-05-06,20
2010-05-07,19
2010-05-08,21
2010-05-09,26
2010-05-10,22
2010-05-11,22
2010-05-12,18
2010-05-13,17
2010-05-14,13
2010-05-15,16
2010-05-16,19
2010-05-17,19
2010-05-18,21
2010-05-19,20
2010-05-20,19
2010-05-21,22
2010-05-22,21
2010-05-23,21
2010-05-24,22
2010-05-25,28
2010-05-26,26
2010-05-27,22
2010-05-28,21
2010-05-29,18
2010-05-30,22
2010-05-31,26
2010-06-01,27
2010-06-02,27
2010-06-03,26
2010-06-04,25
2010-06-05,26
2010-06-06,28
2010-06-07,26
2010-06-08,27
2010-06-09,26
2010-06-10,25
2010-06-11,24
2010-06-12,23
2010-06-13,23
2010-06-14,23
2010-06-15,21
2010-06-16,21
2010-06-17,23
2010-06-18,23
2010-06-19,23
2010-06-20,23
2010-06-21,24
2010-06-22,24
2010-06-23,25
2010-06-24,27
2010-06-25,29
2010-06-26,26
2010-06-27,26
2010-06-28,26
2010-06-29,27
2010-06-30,27
2010-07-01,29
2010-07-02,29
2010-07-03,28
2010-07-04,30
2010-07-05,31
2010-07-06,28
2010-07-07,30
2010-07-08,33
2010-07-09,34
2010-07-10,32
2010-07-11,29
2010-07-12,29
2010-07-13,30
2010-07-14,32
2010-07-15,31
2010-07-16,32
2010-07-17,31
2010-07-18,30
2010-07-19,30
2010-07-20,32
2010-07-21,32
2010-07-22,31
2010-07-23,27
2010-07-24,28
2010-07-25,29
2010-07-26,28
2010-07-27,28
2010-07-28,30
2010-07-29,30
2010-07-30,30
2010-07-31,30
2010-08-01,31
2010-08-02,34
2010-08-03,29
2010-08-04,28
2010-08-05,29
2010-08-06,29
2010-08-07,29
2010-08-08,31
2010-08-09,33
